English,Nepali
Apple,स्याउ
Ball,बल
Cat,बिरालो
Dog,कुकुर
Elephant,हात्ती
Fish,माछा
Goat,बाख्रा
House,घर
Kite,चङ्गा
Lion,सिंह
Monkey,बाँदर
Nest,गुँड
Parrot,सुगा
Queen,रानी
Rabbit,खरायो
Sun,सूर्य
Tree,रुख
Umbrella,छाता
Van,भ्यान
Water,पानी
X-ray,एक्स-रे
Yogurt,दही
Zebra,जेब्रा
Book,किताब
Chair,कुरसी
Desk,टेबल
Egg,अण्डा
Fan,पंखा
Glass,गिलास
Hat,टोपी
Ink,स्याही
Jacket,ज्याकेट
Key,चाबी
Lamp,बत्ती
Map,नक्सा
Nail,नङ्ग
Ocean,महासागर
Pen,कलम
Queen,रानी
Ring,औंठी
Shirt,सर्ट
Umbrella,छाता
Vase,फुलदानी
Window,झ्याल
Xylophone,साइलेफोन
Yacht,डुङ्गा
Zoo,चिडियाखाना
Boy,केटा
Girl,केटी
Man,पुरुष
Woman,महिला
Child,बालक
Teacher,शिक्षक
Student,विद्यार्थी
Doctor,डाक्टर
Nurse,नर्स
Engineer,ईन्जिनियर
Pilot,पाइलट
Driver,ड्राइभर
Police,प्रहरी
Firefighter,दमकल
Artist,कलाकार
Dancer,नर्तक
Actor,अभिनेता
Chef,भान्से
Judge,न्यायाधीश
Lawyer,वकिल
Farmer,किसान
Merchant,व्यापारी
Soldier,सैनिक
Astronaut,अन्तरिक्षयात्री
Writer,लेखक
Poet,कवि
Musician,संगीतकार
Painter,चित्रकार
Architect,आर्किटेक्ट
Banker,बैंकर
Butcher,कसाई
Dentist,दन्त चिकित्सक
Electrician,बिद्युत प्राविधिक
Gardener,माली
Hairdresser,कपाल काट्ने व्यक्ति
Interpreter,अनुवादक
Journalist,पत्रकार
Librarian,पुस्तकालय प्रमुख
Mechanic,मेकानिक
Nanny,आय
Optician,अँखा चेक गर्ने व्यक्ति
Pharmacist,फार्मासिस्ट
Photographer,फोटोग्राफर
Plumber,प्लम्बर
Receptionist,रिसेप्सनिस्ट
Salesman,बिक्रेता
Secretary,सचिव
Tailor,दर्जी
Translator,अनुवादक
Waiter,वेटर
Writer,लेखक
Youtuber,युट्युबर
Zookeeper,चिडियाखाना कर्मचारी
